City,Department,Education Level,Employee ID,Experience Years,Gender,Name,Age,Monthly Salary
Delhi,Marketing,Master,1,15,Female,Employee_1,53,"$111,416.00"
Bangalore,Operations,Bachelor,2,7,Female,Employee_2,25,"$95,271.00"
Hyderabad,IT,High School,3,12,Female,Employee_3,51,"$69,064.00"
Delhi,Operations,PhD,4,8,Male,Employee_4,44,"$95,091.00"
Delhi,Operations,Master,5,15,Female,Employee_5,36,"$132,450.00"
Mumbai,Finance,High School,6,3,Male,Employee_6,50,"$65,818.00"
Mumbai,IT,PhD,7,14,Male,Employee_7,57,"$70,525.00"
Bangalore,IT,PhD,8,17,Female,Employee_8,34,"$44,830.00"
Hyderabad,IT,Bachelor,9,4,Male,Employee_9,53,"$42,429.00"
Mumbai,Operations,High School,10,18,Male,Employee_10,28,"$31,893.00"
Delhi,Marketing,PhD,11,8,Male,Employee_11,43,"$141,381.00"
Hyderabad,IT,Master,12,4,Female,Employee_12,49,"$104,909.00"
Hyderabad,Operations,Master,13,2,Female,Employee_13,23,"$72,333.00"
Delhi,Finance,Bachelor,14,6,Male,Employee_14,27,"$28,436.00"
Mumbai,Marketing,PhD,15,10,Female,Employee_15,49,"$99,290.00"
Delhi,Finance,High School,16,4,Female,Employee_16,49,"$101,213.00"
Hyderabad,Marketing,Master,17,18,Female,Employee_17,41,"$30,895.00"
Chennai,Operations,PhD,18,12,Female,Employee_18,51,"$44,738.00"
Chennai,HR,PhD,19,2,Male,Employee_19,32,"$55,746.00"
Bangalore,Marketing,Bachelor,20,10,Male,Employee_20,49,"$74,377.00"
Delhi,Finance,Master,21,4,Female,Employee_21,46,"$73,404.00"
Delhi,Operations,Master,22,14,Female,Employee_22,54,"$79,045.00"
Bangalore,Marketing,High School,23,16,Male,Employee_23,22,"$122,888.00"
Bangalore,HR,Master,24,15,Male,Employee_24,48,"$64,790.00"
Bangalore,HR,High School,25,8,Female,Employee_25,34,"$132,455.00"
Hyderabad,IT,Master,26,14,Male,Employee_26,24,"$30,600.00"
Delhi,IT,Bachelor,27,8,Female,Employee_27,27,"$119,660.00"
Hyderabad,Finance,Master,28,16,Female,Employee_28,29,"$118,179.00"
Bangalore,Marketing,High School,29,13,Male,Employee_29,48,"$65,764.00"
Delhi,Marketing,High School,30,18,Male,Employee_30,30,"$99,543.00"
Hyderabad,IT,Bachelor,31,15,Female,Employee_31,54,"$70,714.00"
Hyderabad,Marketing,Master,32,13,Female,Employee_32,45,"$81,835.00"
Bangalore,Marketing,Master,33,9,Male,Employee_33,36,"$127,946.00"
Delhi,HR,Bachelor,34,15,Female,Employee_34,53,"$134,616.00"
Bangalore,IT,Master,35,13,Male,Employee_35,53,"$130,983.00"
Delhi,Operations,Master,36,1,Female,Employee_36,45,"$98,744.00"
Chennai,IT,High School,37,7,Male,Employee_37,33,"$81,491.00"
Mumbai,Operations,Master,38,9,Male,Employee_38,23,"$149,123.00"
Mumbai,HR,Master,39,1,Male,Employee_39,24,"$43,589.00"
Mumbai,Finance,Bachelor,40,12,Female,Employee_40,38,"$68,484.00"
Bangalore,Marketing,Bachelor,41,8,Female,Employee_41,23,"$107,989.00"
Chennai,HR,PhD,42,11,Male,Employee_42,23,"$61,212.00"
Delhi,Marketing,High School,43,19,Female,Employee_43,49,"$68,525.00"
Hyderabad,Finance,Master,44,17,Male,Employee_44,44,"$72,202.00"
Delhi,Finance,Master,45,8,Male,Employee_45,53,"$57,635.00"
Hyderabad,HR,PhD,46,3,Female,Employee_46,54,"$88,208.00"
Delhi,Finance,Master,47,3,Female,Employee_47,22,"$58,828.00"
Chennai,Operations,High School,48,1,Male,Employee_48,40,"$43,711.00"
Hyderabad,Finance,PhD,49,5,Female,Employee_49,23,"$28,420.00"
Bangalore,Marketing,High School,50,10,Female,Employee_50,47,"$121,752.00"
